App.StepsRecorder~~~~0.0.1.0                             | Installed  
App.Support.QuickAssist~~~~0.0.1.0                       | Installed  
Browser.InternetExplorer~~~~0.0.11.0                     | Installed  
DirectX.Configuration.Database~~~~0.0.1.0                | Installed  
Hello.Face.18967~~~~0.0.1.0                              | Installed  
Hello.Face.Migration.18967~~~~0.0.1.0                    | Installed  
Language.Basic~~~en-US~0.0.1.0                           | Installed  
Language.Handwriting~~~en-US~0.0.1.0                     | Installed  
Language.OCR~~~en-US~0.0.1.0                             | Installed  
Language.Speech~~~en-US~0.0.1.0                          | Installed  
Language.TextToSpeech~~~en-US~0.0.1.0                    | Installed  
MathRecognizer~~~~0.0.1.0                                | Installed  
Media.WindowsMediaPlayer~~~~0.0.12.0                     | Installed  
Microsoft.Windows.MSPaint~~~~0.0.1.0                     | Installed  
Microsoft.Windows.Notepad~~~~0.0.1.0                     | Installed  
Microsoft.Windows.PowerShell.ISE~~~~0.0.1.0              | Installed  
Microsoft.Windows.WordPad~~~~0.0.1.0                     | Installed  
OneCoreUAP.OneSync~~~~0.0.1.0                            | Installed  
OpenSSH.Client~~~~0.0.1.0                                | Installed  
Print.Fax.Scan~~~~0.0.1.0                                | Installed  
Windows.Client.ShellComponents~~~~0.0.1.0                | Installed  
