
---------REQUEST START---------
URL: https://humb.apple.com/humbug/baa
METHOD: POST
User-Agent: macOS Device Activator (MobileActivation-723.80.3) - KeyRecoveryAssistant (OIC)
Content-Type: application/xml
Content-Length: 17295
BODY: 
<?xml version="1.0" encoding="UTF-8"?>
<!DOCTYPE plist PUBLIC "-//Apple//DTD PLIST 1.0//EN" "http://www.apple.com/DTDs/PropertyList-1.0.dtd">
<plist version="1.0">
<dict>
	<key>RKCertification</key>
	<data>
	MIIlyQIBAjCCJcIEIP4C3sqQtP1S2hwBZzCoHcsoH2xNu5c+a4Q45oJ1MKF3BEEE62ww
	dryb3Ufy8ZftmJ5GC6XihIukaUUXDaWSST/5ToONQL4vgwOIhmw4MwVP4F7dwQSD5i3C
	E57aRu7yGs6hfQQQ5ONvu3o4BnSAJdgNPdqQkQQQCCQxCJrei+t5D79Z2WLyCASCJTWE
	LN3nSCe1D1TJ5+4pco6qtStMhyUcITEljcWJeevPa679qak740adXmyi7lHYAJJIkmPc
	naN/c3qfoJZC3230XfLmpdnNDUYRZHQpOD6qsgF7ruv0MQGTSb4ZdjjqhmlHK9l9dtKd
	CpWS9wxZKSKvtR66AqzvxnFb/lf9W5MHRSzbT+cfCTkQX0w/HslEUgtof2BGUuDa5eI2
	9cfy+EPDX//H41/7JQo1KZDcm7zITzH8cEhs1H2YX9+dCN65kHEbQtG0EqpeJ9NT/JSr
	uNgRYfHMAETRz5r7etFWwr8pVOo34aQc4BsVb3nloiMBJNqo9zqb3G6x7AHHMXp7WwDw
	4DeR1GY4+jB/ZFAypa2epNE3VOpbH/C15l1WgYXzQgzphBgaYND+QA5W0Ccoop0ZT6Hh
	m7w9c42JCcs+KTlVK+29fea/NUmBCN8NXIZVRa7TEwniJXE4MGZeLJCMK5pnANoczuXw
	tlR3ugvGEkHdj5s5xEcqM9Zdf1CjKswtd4vwlgD3RrujTNXdrQwQJjsGDGagrxjMraLV
	7DI1eJtVb6qA2Hcl6a6IKUvbM2hyh5/77zcRHdYehvZiL5hII7lllef1UNQaMA2ehce4
	D5sbJ9yVLwjM/lfTBx31WTEYJhsObkOl9kRmJtV0g/aGkMxJaXFjBlD3JOTOzivCFSAN
	uZvl7FiDwIQyTvDyQIX0lhtddaNcRo2UOOXpwje6QyPOQOyhbb9HxS+vIS0N5OVhDEiq
	kLEHyrHTRMnrv923Pan1Pvm/xwpkyxTZGY7tg9PpsBKLbQCK8f02zClG3cB4ogty8f2r
	RSVfrr3c2wsEgGKWaoOA3WKQyCYflvVzbl7bBrreYvgtP59ahad+4H6qEU4/27FSWn6J
	biu9uhYDXnsDrY9y/ORV4ki7wzJEyBjQeeN5sfn0NfwQTMpnI0aemrOwZjQ0WmPkLKJl
	hGtbWFLVtAbYbmdasvbXK237wwv+mIH8yc2DLtiFJl7ze8lJvOjOBOnuUKCot5KKvwnx
	kTHOJrDpn6aU8QwxPu2U3263X8GqNlxgszGe2GMdvJ5s1b4pItbuTBOljISru58V7akE
	NX1qDlO/s5C2H/swTn4zCq7RAhNo7wJru75kVnHzQOvfiG++HS2MoIZVnHuk9I4UXX8y
	QnKtEAM+0NwV7jcMFn7qP1NYdLLlZc32JCaSyjvqxisTDotnD+WxB4e/33Svg/IzBOdv
	sTae8gw7fESIGygaP/keYA5x23+UY6EsgSInGroCduMSZvmS5yXvarVlWK92snqy18Xo
	4q/JSYz54EC+jRNYPeigre9mK/E7YfHiKbgZSmhP3EDYueo06es8MeJO0T/sV6FUutkX
